time,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6,Velocity_7,Velocity_8,Velocity_9,Velocity_10,Velocity_11,Velocity_12,Velocity_13,Velocity_14,Velocity_15,Velocity_16,Velocity_17,Velocity_18,Velocity_19,Velocity_20,Velocity_21,Velocity_22,Velocity_23,Velocity_24,Velocity_25
5.30E-01,3.584670249,2.646143209,2.12420784,3.152714601,4.180177987,3.36953723,1.286271977,3.03,2.2,4.130239999,4.63288019,2.704137551,3.456192116,3.278097268,3.952744723,2.874828306,4.628255286,3.440998997,3.647984886,3.597708801,3.118686671,3.253585182,4.639730824,2.72,2.2101411
5.40E-01,3.037765321,2.49,3.202252972,2.0271309,3.39,2.295447324,2.980159981,3.886795876,2.29,3.86,4.09,3.415247634,4.029493896,2.976482151,3.62090454,3.24,3.301665192,3.753924483,3.058998287,2.949447894,2.713450161,3.28,3.91,2.265255395,2.902619811
5.50E-01,2.87,3.012553211,2.74,3.009450708,3.651107346,2.68,2.472495608,3.477859564,2.622766563,3.529042736,5.137831505,2.906115259,3.463848439,2.571398505,2.96,3.643845007,4.527476839,5.396780268,3.591041969,2.141689793,2.99,3.33,3.68,1.973445504,3.032715977
5.60E-01,3.758903172,3.393665334,2.75,3.578867476,4.106490973,2.75,1.660417382,3.200919344,2.14242848,3.63,3.386297285,1.991536675,3.383432267,2.62,2.95,2.952639305,4.09,3.927864425,2.657585175,3.204474801,3.187456696,3.38,3.561079586,2.63,2.920224909
5.70E-01,3.690579592,2.62,2.606527036,3.89,3.108906015,3.814266403,1.513621413,3.516884365,3.255805931,3.6,3.394192051,2.71,3.78,3.369572857,2.94,4.086481075,4.952779534,4.678936982,3.660460508,3.387027316,3.281463308,2.738698669,3.988162325,2.685250874,2.8
5.80E-01,2.290856957,2.578305675,3.731232242,4.32,4.26481562,3.692089478,2.55,2.657501024,1.629109548,4.60676598,5.158139611,2.75,3.386250803,3.442002731,2.94,3.28,4.93,4.48,3.39,2.508724925,3.23,2.67,3.814525596,3,2.426131299
5.90E-01,3.126945649,2.891525913,2.3641441,4.569586031,3.768030551,3.191673542,3.510437162,3.6,2.44,3.575595489,4.37,2.76,3.84,1.734035598,2.445996137,3.627545995,4.93,5.125787131,4.340712225,3.14,4.219196903,3.480431326,3.215964341,2.150670508,2.85
6.00E-01,2.780208496,1.75070691,1.93972205,4.408389672,4.286691392,2.83,2.85,3.15764278,2.176868485,4.041785533,4.559294481,2.335875659,4.103005793,3.048892528,2.94,2.853066632,4.94,4.52,3.889174116,2.598640379,4.183915284,3.880566894,3.96,3.444287168,2.446681383
6.10E-01,3.106357329,3.13,3.225188,3.527279227,3.59,2.91,3.265141668,3.64,2.645144851,3.569538933,5.354999029,2.8,3.197251628,3.249584496,3.56008968,4.290639336,4.94,3.82379463,3.43,3.06,3.728186366,3.043449877,4.49,2.43606874,2.558184103
6.20E-01,3.873787124,2.271746733,3.596662928,4.457336622,4.349841177,3.255662584,3.499869701,3.769335981,3.398714711,3.98,4.53,2.85,3.528414466,3.16,3.024525832,2.771161799,4.690852642,5.345191844,3.222258673,3.152988068,3.698746367,2.95,5.054332204,2.99,2.93
6.30E-01,3.194652748,2.9,2.292099974,4.518661314,3.886453702,3.433080604,3,3.68,3.261100023,4.06,4.029726603,3.352248063,3.99,3.030528766,2.96,2.992146263,4.96,3.738114846,3.033979836,3.964791849,4.096410125,4.142376916,5.227090612,2.000140126,3.601381617
6.40E-01,2.421102775,2.571911623,3.595829042,3.679567887,3.768272145,3.22,2.665183712,3.015015374,2.532911237,3.479998662,4.58,1.979254605,4.02,2.48136748,3.857796691,2.746108293,5.07719669,5.548228951,3.49,3.11,3.48,4.123330011,4.884466936,3.01,2.337720323
6.50E-01,3.960749767,2.759493708,2.93,4.305473153,3.75,3.27,3.3,4.281565916,3.57,4.18,4.6,2.74227679,4.06,2.718702306,2.415830461,3.61,5.345244476,3.869224669,3.098574189,2.38000417,3.8450789,3.43,4.45,3.625036476,3.03
6.60E-01,3.43,3.103572639,2.073050718,5.141378375,3.77,4.165609479,2.614563609,3.216426706,3.64,4.144997531,5.510371821,2.720746437,3.614153567,3.287005613,2.36019205,3.64,4.99,4.362600114,3.54,3.149895589,3.57,2.800558716,5.250977878,3.04,2.273566338
6.70E-01,3.479005222,3.826967696,3.405340782,4.52,3.480784766,2.526411,3.59,3.79,3.73,4.82882894,5.59500215,3.907120952,4.123597164,3.31,3.03,3.291435451,4.643498661,4.732905776,2.716554892,3.206224971,3.61,2.629344677,4.47,3.929541883,3.090600632
6.80E-01,3.168891407,3.71,2.342894027,4.53,3.83,3.451089674,3.619014797,3.82,3.225042963,4.227218517,5.50985145,3.23,4.18,2.932393245,3.05,3.72,4.56,3.749660958,3.746365864,3.2,3.65,3.55,5.422042288,3.080563042,3.14
6.90E-01,3.77189186,3.494256984,3.838536601,4.799314209,3.86,3.745232764,3.84,4.106149422,3.219039728,3.579951681,4.391439108,2.790328764,3.65722299,2.944801441,3.918417398,3.76,5.642992804,5.395271324,4.770253192,3.383043394,3.7,4.045768748,5.484878674,3.09,3.60594823
7.00E-01,3.899170624,3.9,2.941055171,4.777587969,3.89,3.838546837,4.922236414,4.370250239,3.837966445,4.32,4.288314561,3.31,4.384950902,3.7,2.758758591,3.8,4.172533698,4.75,4.380196573,3.2,4.507445388,4.484889685,4.655059367,2.241115497,4.16
7.10E-01,2.945322324,4.696972478,3.13,4.346906773,4.217777248,2.521534809,4.159654673,3.110449652,3.20590775,4.61464638,5.664289967,3.933638261,3.567794127,4.545201992,3.857093322,4.708907961,4.42,4.905480001,4.724042788,3.81275844,4.64101362,4.661750988,4.359907373,3.14,4.18
7.20E-01,3.237738867,3.612271166,3.813416568,4.530001535,3.96,3.724809741,4.05,3.94,3.98,4.49,5.228094903,3.509743587,4.34,4.330126823,3.36,3.88,4.58,4.99,4.119436538,4.024705714,3.209325866,3.023743272,3.844192959,3.051242182,5.071290955
